,Quarter,Date,Bank,Assets,Numeric_Quarter,Quarter_Ordinal
116,Q4-2011,2011-12-31,Bank of America,1451969000000.0,2012.0,34
117,Q1-2012,2012-03-31,Bank of America,1448262000000.0,2012.25,35
118,Q2-2012,2012-06-30,Bank of America,1445093000000.0,2012.5,36
119,Q3-2012,2012-09-30,Bank of America,1448273000000.0,2012.75,37
120,Q4-2012,2012-12-31,Bank of America,1474077000000.0,2013.0,38
121,Q1-2013,2013-03-31,Bank of America,1458091000000.0,2013.25,39
122,Q2-2013,2013-06-30,Bank of America,1429737000000.0,2013.5,40
123,Q3-2013,2013-09-30,Bank of America,1438859000000.0,2013.75,41
124,Q4-2013,2013-12-31,Bank of America,1433716000000.0,2014.0,42
125,Q1-2014,2014-03-31,Bank of America,1457856000000.0,2014.25,43
126,Q2-2014,2014-06-30,Bank of America,1454742000000.0,2014.5,44
127,Q3-2014,2014-09-30,Bank of America,1524575000000.0,2014.75,45
128,Q4-2014,2014-12-31,Bank of America,1574093000000.0,2015.0,46
129,Q1-2015,2015-03-31,Bank of America,1599746000000.0,2015.25,47
130,Q2-2015,2015-06-30,Bank of America,1606232000000.0,2015.5,48
131,Q3-2015,2015-09-30,Bank of America,1616426000000.0,2015.75,49
132,Q4-2015,2015-12-31,Bank of America,1639305000000.0,2016.0,50
133,Q1-2016,2016-03-31,Bank of America,1653947000000.0,2016.25,51
134,Q2-2016,2016-06-30,Bank of America,1657878000000.0,2016.5,52
135,Q3-2016,2016-09-30,Bank of America,1659793000000.0,2016.75,53
136,Q4-2016,2016-12-31,Bank of America,1677490000000.0,2017.0,54
137,Q1-2017,2017-03-31,Bank of America,1707215000000.0,2017.25,55
138,Q2-2017,2017-06-30,Bank of America,1705928000000.0,2017.5,56
139,Q3-2017,2017-09-30,Bank of America,1725215000000.0,2017.75,57
140,Q4-2017,2017-12-31,Bank of America,1751524000000.0,2018.0,58
141,Q1-2018,2018-03-31,Bank of America,1765242000000.0,2018.25,59
142,Q2-2018,2018-06-30,Bank of America,1759530000000.0,2018.5,60
143,Q3-2018,2018-09-30,Bank of America,1797881000000.0,2018.75,61
144,Q4-2018,2018-12-31,Bank of America,1782639000000.0,2019.0,62
145,Q1-2019,2019-03-31,Bank of America,1775353000000.0,2019.25,63
146,Q2-2019,2019-06-30,Bank of America,1792891000000.0,2019.5,64
147,Q3-2019,2019-09-30,Bank of America,1812976000000.0,2019.75,65
148,Q4-2019,2019-12-31,Bank of America,1852983000000.0,2020.0,66
149,Q1-2020,2020-03-31,Bank of America,2031940000000.0,2020.25,67
150,Q2-2020,2020-06-30,Bank of America,2161656000000.0,2020.5,68
151,Q3-2020,2020-09-30,Bank of America,2157008000000.0,2020.75,69
152,Q4-2020,2020-12-31,Bank of America,2258832000000.0,2021.0,70
153,Q1-2021,2021-03-31,Bank of America,2316773000000.0,2021.25,71
154,Q2-2021,2021-06-30,Bank of America,2350294000000.0,2021.5,72
155,Q3-2021,2021-09-30,Bank of America,2400819000000.0,2021.75,73
156,Q4-2021,2021-12-31,Bank of America,2519525000000.0,2022.0,74
157,Q1-2022,2022-03-31,Bank of America,2513619000000.0,2022.25,75
158,Q2-2022,2022-06-30,Bank of America,2440022000000.0,2022.5,76
159,Q3-2022,2022-09-30,Bank of America,2407902000000.0,2022.75,77
160,Q4-2022,2022-12-31,Bank of America,2418508000000.0,2023.0,78
161,Q1-2023,2023-03-31,Bank of America,2518290000000.0,2023.25,79
162,Q2-2023,2023-06-30,Bank of America,2449804000000.0,2023.5,80
163,Q3-2023,2023-09-30,Bank of America,2465234000000.0,2023.75,81
164,Q4-2023,2023-12-31,Bank of America,2540116000000.0,2024.0,82
165,Q1-2024,2024-03-31,Bank of America,2550363000000.0,2024.25,83
166,Q3-2003,2003-09-30,Citibank,554540000000.0,2003.75,1
167,Q4-2003,2003-12-31,Citibank,582123000000.0,2004.0,2
168,Q1-2004,2004-03-31,Citibank,606191000000.0,2004.25,3
169,Q2-2004,2004-06-30,Citibank,648243000000.0,2004.5,4
170,Q3-2004,2004-09-30,Citibank,651345000000.0,2004.75,5
171,Q4-2004,2004-12-31,Citibank,694529000000.0,2005.0,6
172,Q1-2005,2005-03-31,Citibank,684592000000.0,2005.25,7
173,Q2-2005,2005-06-30,Citibank,704855000000.0,2005.5,8
174,Q3-2005,2005-09-30,Citibank,704616000000.0,2005.75,9
175,Q4-2005,2005-12-31,Citibank,706497000000.0,2006.0,10
176,Q1-2006,2006-03-31,Citibank,749335000000.0,2006.25,11
177,Q2-2006,2006-06-30,Citibank,777345000000.0,2006.5,12
178,Q3-2006,2006-09-30,Citibank,816362000000.0,2006.75,13
179,Q4-2006,2006-12-31,Citibank,1019497000000.0,2007.0,14
180,Q1-2007,2007-03-31,Citibank,1076949000000.0,2007.25,15
181,Q2-2007,2007-06-30,Citibank,1132840000000.0,2007.5,16
182,Q3-2007,2007-09-30,Citibank,1233325000000.0,2007.75,17
183,Q4-2007,2007-12-31,Citibank,1251715000000.0,2008.0,18
184,Q1-2008,2008-03-31,Citibank,1292503000000.0,2008.25,19
185,Q2-2008,2008-06-30,Citibank,1228445000000.0,2008.5,20
186,Q3-2008,2008-09-30,Citibank,1207007000000.0,2008.75,21
187,Q4-2008,2008-12-31,Citibank,1227040000000.0,2009.0,22
188,Q1-2009,2009-03-31,Citibank,1143561000000.0,2009.25,23
189,Q2-2009,2009-06-30,Citibank,1165400000000.0,2009.5,24
190,Q3-2009,2009-09-30,Citibank,1186754000000.0,2009.75,25
191,Q4-2009,2009-12-31,Citibank,1161361000000.0,2010.0,26
192,Q1-2010,2010-03-31,Citibank,1171094000000.0,2010.25,27
193,Q2-2010,2010-06-30,Citibank,1157877000000.0,2010.5,28
194,Q3-2010,2010-09-30,Citibank,1209221000000.0,2010.75,29
195,Q4-2010,2010-12-31,Citibank,1154293000000.0,2011.0,30
196,Q1-2011,2011-03-31,Citibank,1161359000000.0,2011.25,31
197,Q2-2011,2011-06-30,Citibank,1216291000000.0,2011.5,32
198,Q3-2011,2011-09-30,Citibank,1300674000000.0,2011.75,33
199,Q4-2011,2011-12-31,Citibank,1288658000000.0,2012.0,34
200,Q1-2012,2012-03-31,Citibank,1312764000000.0,2012.25,35
201,Q2-2012,2012-06-30,Citibank,1347841000000.0,2012.5,36
202,Q3-2012,2012-09-30,Citibank,1365026000000.0,2012.75,37
203,Q4-2012,2012-12-31,Citibank,1313401000000.0,2013.0,38
204,Q1-2013,2013-03-31,Citibank,1306258000000.0,2013.25,39
205,Q2-2013,2013-06-30,Citibank,1319359000000.0,2013.5,40
206,Q3-2013,2013-09-30,Citibank,1344751000000.0,2013.75,41
207,Q4-2013,2013-12-31,Citibank,1346747000000.0,2014.0,42
208,Q1-2014,2014-03-31,Citibank,1362220000000.0,2014.25,43
209,Q2-2014,2014-06-30,Citibank,1375847000000.0,2014.5,44
210,Q3-2014,2014-09-30,Citibank,1377620000000.0,2014.75,45
211,Q4-2014,2014-12-31,Citibank,1356781000000.0,2015.0,46
212,Q1-2015,2015-03-31,Citibank,1335871000000.0,2015.25,47
213,Q2-2015,2015-06-30,Citibank,1336201000000.0,2015.5,48
214,Q3-2015,2015-09-30,Citibank,1337821000000.0,2015.75,49
215,Q4-2015,2015-12-31,Citibank,1299801000000.0,2016.0,50
216,Q1-2016,2016-03-31,Citibank,1342643000000.0,2016.25,51
217,Q2-2016,2016-06-30,Citibank,1365660000000.0,2016.5,52
218,Q3-2016,2016-09-30,Citibank,1356393000000.0,2016.75,53
219,Q4-2016,2016-12-31,Citibank,1349581000000.0,2017.0,54
220,Q1-2017,2017-03-31,Citibank,1369153000000.0,2017.25,55
221,Q2-2017,2017-06-30,Citibank,1401303000000.0,2017.5,56
222,Q3-2017,2017-09-30,Citibank,1407297000000.0,2017.75,57
223,Q4-2017,2017-12-31,Citibank,1384707000000.0,2018.0,58
224,Q1-2018,2018-03-31,Citibank,1406778000000.0,2018.25,59
225,Q2-2018,2018-06-30,Citibank,1397794000000.0,2018.5,60
226,Q3-2018,2018-09-30,Citibank,1415081000000.0,2018.75,61
227,Q4-2018,2018-12-31,Citibank,1406717000000.0,2019.0,62
228,Q1-2019,2019-03-31,Citibank,1430122000000.0,2019.25,63
229,Q2-2019,2019-06-30,Citibank,1459623000000.0,2019.5,64
230,Q3-2019,2019-09-30,Citibank,1472915000000.0,2019.75,65
231,Q4-2019,2019-12-31,Citibank,1453998000000.0,2020.0,66
232,Q1-2020,2020-03-31,Citibank,1632405000000.0,2020.25,67
233,Q2-2020,2020-06-30,Citibank,1633678000000.0,2020.5,68
234,Q3-2020,2020-09-30,Citibank,1648667000000.0,2020.75,69
235,Q4-2020,2020-12-31,Citibank,1661507000000.0,2021.0,70
236,Q1-2021,2021-03-31,Citibank,1684634000000.0,2021.25,71
237,Q2-2021,2021-06-30,Citibank,1693227000000.0,2021.5,72
238,Q3-2021,2021-09-30,Citibank,1703923000000.0,2021.75,73
239,Q4-2021,2021-12-31,Citibank,1669227000000.0,2022.0,74
240,Q1-2022,2022-03-31,Citibank,1718008000000.0,2022.25,75
241,Q2-2022,2022-06-30,Citibank,1720308000000.0,2022.5,76
242,Q3-2022,2022-09-30,Citibank,1714474000000.0,2022.75,77
243,Q4-2022,2022-12-31,Citibank,1766752000000.0,2023.0,78
244,Q1-2023,2023-03-31,Citibank,1721547000000.0,2023.25,79
245,Q2-2023,2023-06-30,Citibank,1709727000000.0,2023.5,80
246,Q3-2023,2023-09-30,Citibank,1657372000000.0,2023.75,81
247,Q4-2023,2023-12-31,Citibank,1684710000000.0,2024.0,82
248,Q1-2024,2024-03-31,Citibank,1698856000000.0,2024.25,83
249,Q3-2003,2003-09-30,Wells Fargo,224376000000.0,2003.75,1
250,Q4-2003,2003-12-31,Wells Fargo,250474000000.0,2004.0,2
251,Q1-2004,2004-03-31,Wells Fargo,347560000000.0,2004.25,3
252,Q2-2004,2004-06-30,Wells Fargo,364698000000.0,2004.5,4
253,Q3-2004,2004-09-30,Wells Fargo,362973000000.0,2004.75,5
254,Q4-2004,2004-12-31,Wells Fargo,366256000000.0,2005.0,6
255,Q1-2005,2005-03-31,Wells Fargo,367427000000.0,2005.25,7
256,Q2-2005,2005-06-30,Wells Fargo,364120000000.0,2005.5,8
257,Q3-2005,2005-09-30,Wells Fargo,380109000000.0,2005.75,9
258,Q4-2005,2005-12-31,Wells Fargo,403258000000.0,2006.0,10
259,Q1-2006,2006-03-31,Wells Fargo,415802000000.0,2006.25,11
260,Q2-2006,2006-06-30,Wells Fargo,415859000000.0,2006.5,12
261,Q3-2006,2006-09-30,Wells Fargo,400807000000.0,2006.75,13
262,Q4-2006,2006-12-31,Wells Fargo,398671000000.0,2007.0,14
263,Q1-2007,2007-03-31,Wells Fargo,396847000000.0,2007.25,15
264,Q2-2007,2007-06-30,Wells Fargo,428724000000.0,2007.5,16
265,Q3-2007,2007-09-30,Wells Fargo,445446000000.0,2007.75,17
266,Q4-2007,2007-12-31,Wells Fargo,467861000000.0,2008.0,18
267,Q1-2008,2008-03-31,Wells Fargo,486886000000.0,2008.25,19
268,Q2-2008,2008-06-30,Wells Fargo,503327000000.0,2008.5,20
269,Q3-2008,2008-09-30,Wells Fargo,514853000000.0,2008.75,21
270,Q4-2008,2008-12-31,Wells Fargo,538958000000.0,2009.0,22
271,Q1-2009,2009-03-31,Wells Fargo,552170000000.0,2009.25,23
272,Q2-2009,2009-06-30,Wells Fargo,539621000000.0,2009.5,24
273,Q3-2009,2009-09-30,Wells Fargo,547690000000.0,2009.75,25
274,Q4-2009,2009-12-31,Wells Fargo,608778000000.0,2010.0,26
275,Q1-2010,2010-03-31,Wells Fargo,1065890000000.0,2010.25,27
276,Q2-2010,2010-06-30,Wells Fargo,1073280000000.0,2010.5,28
277,Q3-2010,2010-09-30,Wells Fargo,1070489000000.0,2010.75,29
278,Q4-2010,2010-12-31,Wells Fargo,1102278000000.0,2011.0,30
279,Q1-2011,2011-03-31,Wells Fargo,1093030000000.0,2011.25,31
280,Q2-2011,2011-06-30,Wells Fargo,1104833000000.0,2011.5,32
281,Q3-2011,2011-09-30,Wells Fargo,1142254000000.0,2011.75,33
282,Q4-2011,2011-12-31,Wells Fargo,1161490000000.0,2012.0,34
283,Q1-2012,2012-03-31,Wells Fargo,1181817000000.0,2012.25,35
284,Q2-2012,2012-06-30,Wells Fargo,1180190000000.0,2012.5,36
285,Q3-2012,2012-09-30,Wells Fargo,1218796000000.0,2012.75,37
286,Q4-2012,2012-12-31,Wells Fargo,1266125000000.0,2013.0,38
287,Q1-2013,2013-03-31,Wells Fargo,1271620000000.0,2013.25,39
288,Q2-2013,2013-06-30,Wells Fargo,1284538000000.0,2013.5,40
289,Q3-2013,2013-09-30,Wells Fargo,1328010000000.0,2013.75,41
290,Q4-2013,2013-12-31,Wells Fargo,1373600000000.0,2014.0,42
291,Q1-2014,2014-03-31,Wells Fargo,1388274000000.0,2014.25,43
292,Q2-2014,2014-06-30,Wells Fargo,1436828000000.0,2014.5,44
293,Q3-2014,2014-09-30,Wells Fargo,1482815000000.0,2014.75,45
294,Q4-2014,2014-12-31,Wells Fargo,1532784000000.0,2015.0,46
295,Q1-2015,2015-03-31,Wells Fargo,1571389000000.0,2015.25,47
296,Q2-2015,2015-06-30,Wells Fargo,1553871000000.0,2015.5,48
297,Q3-2015,2015-09-30,Wells Fargo,1579174000000.0,2015.75,49
298,Q4-2015,2015-12-31,Wells Fargo,1610580000000.0,2016.0,50
299,Q1-2016,2016-03-31,Wells Fargo,1667785000000.0,2016.25,51
300,Q2-2016,2016-06-30,Wells Fargo,1699435000000.0,2016.5,52
301,Q3-2016,2016-09-30,Wells Fargo,1740819000000.0,2016.75,53
302,Q4-2016,2016-12-31,Wells Fargo,1727235000000.0,2017.0,54
303,Q1-2017,2017-03-31,Wells Fargo,1749176000000.0,2017.25,55
304,Q2-2017,2017-06-30,Wells Fargo,1731937000000.0,2017.5,56
305,Q3-2017,2017-09-30,Wells Fargo,1737980000000.0,2017.75,57
306,Q4-2017,2017-12-31,Wells Fargo,1747354000000.0,2018.0,58
307,Q1-2018,2018-03-31,Wells Fargo,1716532000000.0,2018.25,59
308,Q2-2018,2018-06-30,Wells Fargo,1675077000000.0,2018.5,60
309,Q3-2018,2018-09-30,Wells Fargo,1665128000000.0,2018.75,61
310,Q4-2018,2018-12-31,Wells Fargo,1689351000000.0,2019.0,62
311,Q1-2019,2019-03-31,Wells Fargo,1667769000000.0,2019.25,63
312,Q2-2019,2019-06-30,Wells Fargo,1699842000000.0,2019.5,64
313,Q3-2019,2019-09-30,Wells Fargo,1708548000000.0,2019.75,65
314,Q4-2019,2019-12-31,Wells Fargo,1712919000000.0,2020.0,66
315,Q1-2020,2020-03-31,Wells Fargo,1763696000000.0,2020.25,67
316,Q2-2020,2020-06-30,Wells Fargo,1799940000000.0,2020.5,68
317,Q3-2020,2020-09-30,Wells Fargo,1750196000000.0,2020.75,69
318,Q4-2020,2020-12-31,Wells Fargo,1767808000000.0,2021.0,70
319,Q1-2021,2021-03-31,Wells Fargo,1773157000000.0,2021.25,71
320,Q2-2021,2021-06-30,Wells Fargo,1776718000000.0,2021.5,72
321,Q3-2021,2021-09-30,Wells Fargo,1786611000000.0,2021.75,73
322,Q4-2021,2021-12-31,Wells Fargo,1779504000000.0,2022.0,74
323,Q1-2022,2022-03-31,Wells Fargo,1764272000000.0,2022.25,75
324,Q2-2022,2022-06-30,Wells Fargo,1712535000000.0,2022.5,76
325,Q3-2022,2022-09-30,Wells Fargo,1712442000000.0,2022.75,77
326,Q4-2022,2022-12-31,Wells Fargo,1717531000000.0,2023.0,78
327,Q1-2023,2023-03-31,Wells Fargo,1687507000000.0,2023.25,79
328,Q2-2023,2023-06-30,Wells Fargo,1667885000000.0,2023.5,80
329,Q3-2023,2023-09-30,Wells Fargo,1704891000000.0,2023.75,81
330,Q4-2023,2023-12-31,Wells Fargo,1733244000000.0,2024.0,82
331,Q1-2024,2024-03-31,Wells Fargo,1743283000000.0,2024.25,83
